path,source,species,venom_label,license,width,height,dup_cluster_id,is_representative,split
e:\Coding_Notes\Faunari\data\raw\inaturalist\346344447.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,500,478,0,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346347359.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-nc,281,500,1,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346351543.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,281,2,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346353802.jpg,inaturalist,Ovophis monticola,venomous,,500,311,3,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346355454.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,500,311,4,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346356163.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,281,500,5,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346374573.jpg,inaturalist,Rhabdophis plumbicolor,non_venomous,cc-by,231,500,6,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346378167.jpg,inaturalist,Oligodon russelius,non_venomous,cc-by-nc,500,347,7,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346381317.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,333,8,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\346383470.jpg,inaturalist,Atretium schistosum,non_venomous,cc-by-nc,500,293,9,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346386140.jpg,inaturalist,Naja naja,venomous,cc-by-nc,375,500,10,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\346388555.jpg,inaturalist,Naja kaouthia,venomous,cc-by-nc,500,397,11,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346389738.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,500,375,12,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346389791.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,500,375,13,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346406930.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,500,14,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346417667.jpg,inaturalist,Ahaetulla borealis,non_venomous,cc-by-nc,500,309,15,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346417677.jpg,inaturalist,Boiga beddomei,non_venomous,cc-by-nc,500,452,16,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346421317.jpg,inaturalist,Indotyphlops braminus,non_venomous,cc-by,500,500,17,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346449488.jpg,inaturalist,Naja naja,venomous,cc-by-nc,375,500,18,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346540015.jpg,inaturalist,Amphiesma stolatum,non_venomous,cc-by-nc,281,500,19,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\346550917.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,375,20,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346562976.jpg,inaturalist,Dendrelaphis tristis,non_venomous,cc-by-nc,500,315,21,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346580722.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,486,22,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346581610.jpg,inaturalist,Platyceps ventromaculatus,non_venomous,cc-by-nc,500,375,23,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346582446.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,281,500,24,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346598378.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,230,25,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346598690.jpg,inaturalist,Naja naja,venomous,cc-by-nc,500,375,26,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\346598692.jpg,inaturalist,Naja naja,venomous,cc-by-nc,230,500,27,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346605474.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,483,28,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346633343.jpg,inaturalist,Eryx conicus,non_venomous,cc-by-nc,281,500,29,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346719579.jpg,inaturalist,Sahyadriophis beddomei,non_venomous,,375,500,30,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346733039.jpg,inaturalist,Craspedocephalus gramineus,venomous,,500,375,31,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346756155.jpg,inaturalist,Indotyphlops braminus,non_venomous,,375,500,32,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346760943.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,376,500,33,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346784953.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,375,500,34,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346785530.jpg,inaturalist,Dendrelaphis chairecacos,non_venomous,cc-by-sa,500,498,35,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346801138.jpg,inaturalist,Lycodon fasciolatus,non_venomous,cc-by-nc,375,500,36,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346806627.jpg,inaturalist,Coelognathus helena helena,non_venomous,,500,375,37,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346812175.jpg,inaturalist,Oligodon taeniolatus,non_venomous,cc-by-sa,281,500,38,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346814728.jpg,inaturalist,Python bivittatus,non_venomous,cc-by-nc,500,333,39,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346821456.jpg,inaturalist,Lycodon aulicus,non_venomous,cc-by-nc,500,375,40,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\346847373.jpg,inaturalist,Naja naja,venomous,,375,500,41,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346860990.jpg,inaturalist,Dendrelaphis andamanensis,non_venomous,cc-by-nc,500,500,42,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346861860.jpg,inaturalist,Gonyosoma oxycephalum,non_venomous,cc-by-nc,500,500,43,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346931225.jpg,inaturalist,Fowlea piscator,non_venomous,cc-by-nc,500,281,44,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346958564.jpg,inaturalist,Naja naja,venomous,cc-by-nc,376,500,45,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\346959225.jpg,inaturalist,Daboia russelii,venomous,cc-by-nc,500,494,46,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346961280.jpg,inaturalist,Ptyas mucosa,non_venomous,,500,333,47,True,hardcase
e:\Coding_Notes\Faunari\data\raw\inaturalist\346962447.jpg,inaturalist,Naja naja,venomous,cc-by-nc,500,373,48,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346984086.jpg,inaturalist,Dendrelaphis proarchos,non_venomous,cc-by-nc,392,500,49,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\346994083.jpg,inaturalist,Atretium schistosum,non_venomous,cc-by,375,500,50,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\346994986.jpg,inaturalist,Atretium schistosum,non_venomous,cc-by,375,500,51,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347029281.jpg,inaturalist,Lycodon aulicus,non_venomous,,375,500,52,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347067372.jpg,inaturalist,Dendrelaphis girii,non_venomous,cc-by-nc,375,500,53,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347165126.jpg,inaturalist,Coelognathus helena helena,non_venomous,,375,500,54,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347179983.jpg,inaturalist,Ptyas mucosa,non_venomous,cc-by-nc,500,375,55,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347184755.jpg,inaturalist,Craspedocephalus malabaricus,venomous,cc-by-nc,268,500,56,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347189509.jpg,inaturalist,Oligodon taeniolatus,non_venomous,,500,375,57,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347190003.jpg,inaturalist,Coelognathus helena,non_venomous,,500,375,58,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347193127.jpg,inaturalist,Boiga trigonata,non_venomous,,500,495,59,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347194802.jpg,inaturalist,Craspedocephalus malabaricus,venomous,cc-by-nc,400,500,60,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347194817.jpg,inaturalist,Craspedocephalus malabaricus,venomous,cc-by-nc,500,400,61,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347197183.jpg,inaturalist,Dendrelaphis girii,non_venomous,cc-by-nc,500,472,62,True,val
e:\Coding_Notes\Faunari\data\raw\inaturalist\347206764.jpg,inaturalist,Oligodon arnensis,non_venomous,cc-by-nc,281,500,63,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347206938.jpg,inaturalist,Oligodon russelius,non_venomous,cc-by-nc,375,500,64,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347210098.jpg,inaturalist,Ptyas korros,non_venomous,,375,500,65,True,test
e:\Coding_Notes\Faunari\data\raw\inaturalist\347210705.jpg,inaturalist,Naja naja,venomous,,375,500,66,True,train
e:\Coding_Notes\Faunari\data\raw\inaturalist\347216629.jpg,inaturalist,Lycodon striatus,non_venomous,,281,500,67,True,train
