scientific_name,genus,venom_label,needs_review,reason
Acrochordus granulatus,Acrochordus,non_venomous,False,genus Acrochordus = not medically dangerous
Ahaetulla anomala,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla borealis,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla dispar,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla farnsworthi,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla laudankia,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla malabarica,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla oxyrhynca,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla perroteti,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Ahaetulla sahyadrensis,Ahaetulla,non_venomous,False,genus Ahaetulla = not medically dangerous
Amphiesma monticola,Amphiesma,non_venomous,False,genus Amphiesma = not medically dangerous
Amphiesma stolatum,Amphiesma,non_venomous,False,genus Amphiesma = not medically dangerous
Argyrophis diardii,Argyrophis,non_venomous,False,genus Argyrophis = not medically dangerous
Atretium schistosum,Atretium,non_venomous,False,genus Atretium = not medically dangerous
Boiga andamanensis,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga beddomei,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga cyanea,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga flaviviridis,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga forsteni,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga gocool,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga multifasciata,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga multomaculata ochracea,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga nuchalis,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga siamensis,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga stoliczkae,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga thackerayi,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga trigonata,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga wallachi,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Boiga westermanni,Boiga,non_venomous,False,genus Boiga = not medically dangerous
Bungarus andamanensis,Bungarus,venomous,False,genus Bungarus = medically dangerous
Bungarus bungaroides,Bungarus,venomous,False,genus Bungarus = medically dangerous
Bungarus caeruleus,Bungarus,venomous,False,genus Bungarus = medically dangerous
Bungarus fasciatus,Bungarus,venomous,False,genus Bungarus = medically dangerous
Bungarus niger,Bungarus,venomous,False,genus Bungarus = medically dangerous
Calliophis bibroni,Calliophis,venomous,False,genus Calliophis = medically dangerous
Calliophis nigrescens,Calliophis,venomous,False,genus Calliophis = medically dangerous
Cerberus rynchops,Cerberus,non_venomous,False,genus Cerberus = not medically dangerous
Chrysopelea ornata,Chrysopelea,non_venomous,False,genus Chrysopelea = not medically dangerous
Coelognathus helena,Coelognathus,non_venomous,False,genus Coelognathus = not medically dangerous
Coelognathus helena helena,Coelognathus,non_venomous,False,genus Coelognathus = not medically dangerous
Coelognathus helena monticollaris,Coelognathus,non_venomous,False,genus Coelognathus = not medically dangerous
Coelognathus radiatus,Coelognathus,non_venomous,False,genus Coelognathus = not medically dangerous
Craspedocephalus anamallensis,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus gramineus,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus macrolepis,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus malabaricus,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus peltopelor,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus strigatus,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Craspedocephalus travancoricus,Craspedocephalus,venomous,False,genus Craspedocephalus = medically dangerous
Daboia russelii,Daboia,venomous,False,genus Daboia = medically dangerous
Dendrelaphis andamanensis,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis ashoki,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis chairecacos,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis girii,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis grandoculis,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis humayuni,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis proarchos,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dendrelaphis tristis,Dendrelaphis,non_venomous,False,genus Dendrelaphis = not medically dangerous
Dieurostus dussumieri,Dieurostus,non_venomous,False,genus Dieurostus = not medically dangerous
Echis carinatus,Echis,venomous,False,genus Echis = medically dangerous
Echis carinatus carinatus,Echis,venomous,False,genus Echis = medically dangerous
Elaphe cantoris,Elaphe,non_venomous,False,genus Elaphe = not medically dangerous
Elaphe hodgsoni,Elaphe,non_venomous,False,genus Elaphe = not medically dangerous
Elaphe taeniura,Elaphe,non_venomous,False,genus Elaphe = not medically dangerous
Enhydris enhydris,Enhydris,non_venomous,False,genus Enhydris = not medically dangerous
Eryx conicus,Eryx,non_venomous,False,genus Eryx = not medically dangerous
Eryx johnii,Eryx,non_venomous,False,genus Eryx = not medically dangerous
Eryx whitakeri,Eryx,non_venomous,False,genus Eryx = not medically dangerous
Fowlea piscator,Fowlea,non_venomous,False,genus Fowlea = not medically dangerous
Fowlea tytleri,Fowlea,non_venomous,False,genus Fowlea = not medically dangerous
Gloydius himalayanus,Gloydius,venomous,False,genus Gloydius = medically dangerous
Gonyosoma oxycephalum,Gonyosoma,non_venomous,False,genus Gonyosoma = not medically dangerous
Grypotyphlops acutus,Grypotyphlops,non_venomous,False,genus Grypotyphlops = not medically dangerous
Herpetoreas platyceps,Herpetoreas,non_venomous,False,genus Herpetoreas = not medically dangerous
Herpetoreas xenura,Herpetoreas,non_venomous,False,genus Herpetoreas = not medically dangerous
Hypnale hypnale,Hypnale,venomous,False,genus Hypnale = medically dangerous
Hypsiscopus plumbeus,Hypsiscopus,non_venomous,False,genus Hypsiscopus = not medically dangerous
Indotyphlops braminus,Indotyphlops,non_venomous,False,genus Indotyphlops = not medically dangerous
Lycodon aulicus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon fasciatus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon fasciolatus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon flavomaculatus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon gracilis,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon hypsirhinoides,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon jara,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon nympha,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon striatus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon travancoricus,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Lycodon zawi,Lycodon,non_venomous,False,genus Lycodon = not medically dangerous
Malayopython reticulatus,Malayopython,non_venomous,False,genus Malayopython = not medically dangerous
Melanophidium punctatum,Melanophidium,non_venomous,False,genus Melanophidium = not medically dangerous
Melanophidium wynaudense,Melanophidium,non_venomous,False,genus Melanophidium = not medically dangerous
Naja kaouthia,Naja,venomous,False,genus Naja = medically dangerous
Naja naja,Naja,venomous,False,genus Naja = medically dangerous
Oligodon affinis,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon albocinctus,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon arnensis,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon brevicauda,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon dorsalis,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon russelius,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon taeniolatus,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon tillacki,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Oligodon travancoricus,Oligodon,non_venomous,False,genus Oligodon = not medically dangerous
Ophiophagus hannah,Ophiophagus,venomous,False,genus Ophiophagus = medically dangerous
Ophiophagus kaalinga,Ophiophagus,venomous,False,genus Ophiophagus = medically dangerous
Oreocryptophis porphyraceus,Oreocryptophis,non_venomous,False,genus Oreocryptophis = not medically dangerous
Ovophis monticola,Ovophis,venomous,False,genus Ovophis = medically dangerous
Pareas monticola,Pareas,non_venomous,False,genus Pareas = not medically dangerous
Platyceps bholanathi,Platyceps,non_venomous,False,genus Platyceps = not medically dangerous
Platyceps gracilis,Platyceps,non_venomous,False,genus Platyceps = not medically dangerous
Platyceps plinii,Platyceps,non_venomous,False,genus Platyceps = not medically dangerous
Platyceps ventromaculatus,Platyceps,non_venomous,False,genus Platyceps = not medically dangerous
Platyplectrurus madurensis,Platyplectrurus,non_venomous,False,genus Platyplectrurus = not medically dangerous
Plectrurus perroteti,Plectrurus,non_venomous,False,genus Plectrurus = not medically dangerous
Psammodynastes pulverulentus,Psammodynastes,non_venomous,False,genus Psammodynastes = not medically dangerous
Psammophis leithii,Psammophis,non_venomous,False,genus Psammophis = not medically dangerous
Psammophis schokari,Psammophis,non_venomous,False,genus Psammophis = not medically dangerous
Pseudoindotyphlops porrectus,Pseudoindotyphlops,non_venomous,False,genus Pseudoindotyphlops = not medically dangerous
Pseudoxenodon macrops,Pseudoxenodon,non_venomous,False,genus Pseudoxenodon = not medically dangerous
Ptyas korros,Ptyas,non_venomous,False,genus Ptyas = not medically dangerous
Ptyas mucosa,Ptyas,non_venomous,False,genus Ptyas = not medically dangerous
Ptyas nigromarginata,Ptyas,non_venomous,False,genus Ptyas = not medically dangerous
Python bivittatus,Python,non_venomous,False,genus Python = not medically dangerous
Python molurus,Python,non_venomous,False,genus Python = not medically dangerous
Rhabdophis helleri,Rhabdophis,non_venomous,True,Rhabdophis - confirm not medically significant in India
Rhabdophis himalayanus,Rhabdophis,non_venomous,True,Rhabdophis - confirm not medically significant in India
Rhabdophis leonardi,Rhabdophis,non_venomous,True,Rhabdophis - confirm not medically significant in India
Rhabdophis plumbicolor,Rhabdophis,non_venomous,True,rear-fanged keelback; genus has dangerous members abroad - confirm Indian medical relevance
Rhabdophis plumbicolor plumbicolor,Rhabdophis,non_venomous,True,see Rhabdophis plumbicolor
Rhabdops olivaceus,Rhabdops,non_venomous,False,genus Rhabdops = not medically dangerous
Rhinophis melanoleucus,Rhinophis,non_venomous,False,genus Rhinophis = not medically dangerous
Rhinophis travancoricus,Rhinophis,non_venomous,False,genus Rhinophis = not medically dangerous
Sahyadriophis beddomei,Sahyadriophis,non_venomous,False,genus Sahyadriophis = not medically dangerous
Sahyadriophis uttaraghati,Sahyadriophis,non_venomous,False,genus Sahyadriophis = not medically dangerous
Sibynophis collaris,Sibynophis,non_venomous,False,genus Sibynophis = not medically dangerous
Sibynophis sagittarius,Sibynophis,non_venomous,False,genus Sibynophis = not medically dangerous
Sibynophis subpunctatus,Sibynophis,non_venomous,False,genus Sibynophis = not medically dangerous
Sinomicrurus gorei,Sinomicrurus,venomous,False,genus Sinomicrurus = medically dangerous
Sinomicrurus macclellandi,Sinomicrurus,venomous,False,genus Sinomicrurus = medically dangerous
Spalerosophis diadema,Spalerosophis,non_venomous,False,genus Spalerosophis = not medically dangerous
Trimeresurus albolabris,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Trimeresurus andersonii,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Trimeresurus erythrurus,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Trimeresurus popeiorum,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Trimeresurus septentrionalis,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Trimeresurus uetzi,Trimeresurus,venomous,False,genus Trimeresurus = medically dangerous
Uropeltis bicatenata,Uropeltis,non_venomous,False,genus Uropeltis = not medically dangerous
Uropeltis caudomaculata,Uropeltis,non_venomous,False,genus Uropeltis = not medically dangerous
Uropeltis ceylanica,Uropeltis,non_venomous,False,genus Uropeltis = not medically dangerous
Uropeltis myhendrae,Uropeltis,non_venomous,False,genus Uropeltis = not medically dangerous
Uropeltis ocellata,Uropeltis,non_venomous,False,genus Uropeltis = not medically dangerous
Xenochrophis trianguligerus,Xenochrophis,non_venomous,False,genus Xenochrophis = not medically dangerous
Xenopeltis unicolor,Xenopeltis,non_venomous,False,genus Xenopeltis = not medically dangerous
Xylophis perroteti,Xylophis,non_venomous,False,genus Xylophis = not medically dangerous
